d;406;2117
d;406;2058
d;407;2034
d;407;2019
d;408;2030
d;408;1931
d;407;1357
d;410;1120
d;410;1544
d;408;1146
d;417;4921
d;416;11878
d;411;3869
d;0;638
d;0;182
d;423;378
d;1026;879
d;1124;1077
d;1142;1065
d;1155;1021
d;1169;992
d;1179;783
d;1185;470
d;1186;274
d;1191;132
d;1383;179
e;1612519067.854840;2256
s;1612519068.616568;2256
d;714;2777
d;610;9102
d;594;13221
d;584;3356
d;571;3817
d;559;3931
d;546;3082
d;534;7355
d;525;2301
d;527;271
d;528;86
d;532;66
d;507;646
d;477;1010
d;475;267
d;475;137
d;475;109
d;476;71
d;477;88
d;452;591
d;452;126
d;453;78
d;453;154
d;454;172
d;455;126
d;454;91
d;454;84
d;453;69
e;1612519068.910676;2256
s;1612519069.129157;2256
d;450;201
d;452;203
d;454;189
d;453;200
d;453;161
d;453;84
d;453;70
e;1612519069.210013;2256
s;1612519070.471763;2256
d;1176;219
d;1037;197
d;860;258
d;703;339
d;590;512
d;525;894
d;503;1036
d;496;641
d;491;490
d;482;467
d;473;356
d;466;299
d;451;639
d;436;4820
d;425;2508
d;419;1895
d;405;2108
d;393;874
d;392;214
d;392;106
d;393;141
d;399;300
d;403;314
d;403;168
d;403;105
e;1612519070.722450;2256
s;1612519070.960755;2256
d;407;149
d;409;175
d;408;151
d;408;128
d;407;100
d;406;75
d;406;153
d;400;214
d;730;217
d;1386;300
e;1612519071.065006;2256
s;1612519072.716419;2256
d;1073;257
d;633;646
d;488;2099
d;475;630
d;469;438
d;465;370
d;465;149
e;1612519072.784458;2256
s;1612519072.848688;2256
d;483;81
d;483;79
d;483;73
d;484;67
d;484;63
d;483;65
d;483;73
d;483;67
d;483;72
d;483;63
d;484;64
d;484;60
d;484;63
d;483;63
e;1612519072.989799;2256
s;1612519073.058776;2256
d;489;66
d;490;73
d;490;71
d;489;80
d;489;77
d;489;64
e;1612519073.104169;2256
s;1612519073.444331;2256
d;1239;237
d;1382;370
d;1260;231
d;1193;114
d;1065;165
d;1214;267
d;1326;262
e;1612519073.513476;2256
s;1612519073.600028;2256
d;0;86
d;0;182
d;583;320
d;1026;340
d;1299;472
e;1612519073.648161;2256
s;1612519073.779184;2256
d;1355;190
d;1248;177
d;1290;84
d;1258;86
d;1080;174
d;1119;60
d;1101;79
d;1311;177
e;1612519073.867475;2256
s;1612519088.254403;2256
d;936;149
d;934;154
d;930;222
d;925;392
d;927;1665
d;935;2400
d;944;4223
d;954;5238
d;964;4997
d;977;3347
d;994;2189
d;1009;3386
d;1020;5272
d;1032;6997
d;1046;7567
d;1059;7720
d;1072;6684
d;1084;4603
d;1096;2494
d;1113;1492
d;1131;1676
d;1138;1986
d;1131;1736
d;1115;839
e;1612519088.497386;2256
s;1612519093.810259;2256
d;1056;1593
d;255;6440
d;211;9394
d;210;10727
d;216;11963
d;222;12261
d;223;12428
d;221;10377
d;219;6185
