d;1126;6284
d;1140;5654
d;1155;4810
d;1171;2122
e;1612521725.307071;2240
s;1612521735.178813;2240
d;1624;1412
d;1525;3305
d;1500;5275
d;1479;7367
d;1458;8260
d;1437;6581
d;1416;4912
d;1394;2544
d;1375;486
d;1368;174
d;1364;153
d;1359;102
d;1354;84
d;1349;98
d;1344;102
d;1339;100
d;1334;88
d;1329;81
d;1324;83
d;1318;73
d;1312;72
d;1308;77
d;1304;80
d;1300;72
d;1296;77
d;1292;77
d;1289;107
d;1288;115
d;1286;96
d;1279;63
e;1612521735.489652;2240
s;1612521735.521109;2240
d;4251;61
e;1612521735.539903;2240
s;1612521735.566999;2240
d;2269;670
d;2266;1092
d;2251;1572
d;2233;2033
d;2218;2093
d;2203;2048
d;2188;1830
d;2174;1355
d;2161;961
d;2151;582
d;2146;286
d;2146;113
d;2146;62
e;1612521735.697097;2240
s;1612521742.395789;2240
d;2225;449
d;2212;664
d;2193;992
d;2177;1336
d;2161;1578
d;2147;1778
d;2134;1825
d;2121;1857
d;2106;1675
d;2091;1447
d;2075;1233
d;2063;816
d;2057;386
d;2056;162
d;2056;73
e;1612521742.541089;2240
s;1612521743.959889;2240
d;2292;499
d;2276;802
d;2260;1185
d;2245;1609
d;2230;2064
d;2216;2198
d;2204;2243
d;2192;2208
d;2179;2123
d;2165;1773
d;2152;1480
d;2139;1047
d;2129;642
d;2128;199
d;2128;119
d;2128;70
d;2128;60
e;1612521744.126274;2240
s;1612521745.354714;2240
d;1927;294
d;2203;561
d;2293;885
d;2293;1190
d;2280;1444
d;2267;1741
d;2254;1881
d;2243;1913
d;2231;1968
d;2221;1977
d;2208;1786
d;2195;1509
d;2182;1126
d;2172;802
d;2164;494
d;2164;164
d;2164;122
d;2165;76
e;1612521745.539869;2240
s;1612521746.651610;2240
d;796;103
d;788;201
d;777;266
d;759;488
d;743;718
d;739;1193
d;743;1558
d;746;1483
d;745;1334
d;744;1294
d;744;1269
d;744;1259
d;744;1248
d;745;1224
d;746;1182
d;745;1123
d;747;1022
d;751;800
d;758;490
d;763;233
d;764;206
d;758;406
d;740;1046
d;735;2317
d;740;10250
d;753;9987
d;769;11145
d;780;14582
d;794;11960
d;813;3687
d;828;5054
d;842;11438
d;856;13811
d;873;2972
d;888;2749
d;904;2630
d;921;4376
d;934;11141
d;950;8123
d;974;7364
d;998;12324
d;1014;14464
d;1027;9841
d;1039;14256
d;1054;9974
d;1070;2356
d;1069;202
e;1612521747.131216;2240
s;1612521747.635916;2240
d;544;246
d;532;448
d;531;336
d;532;173
d;532;152
e;1612521747.686703;2240
s;1612521747.824245;2240
d;527;379
d;523;500
d;526;354
d;527;180
d;526;333
d;521;4109
d;530;13529
d;548;9323
d;570;456
d;573;68
d;578;71
d;584;67
d;590;62
d;598;68
d;606;64
d;614;72
d;623;83
d;631;64
e;1612521748.010745;2240
s;1612521748.046336;2240
d;250;206
d;585;213
d;625;113
d;676;73
d;710;66
d;743;74
d;784;72
d;814;90
d;843;88
d;868;69
d;879;62
e;1612521748.160075;2240
s;1612521748.363279;2240
d;1344;68
d;1346;81
d;1348;79
d;1349;74
d;1349;72
e;1612521748.413888;2240
s;1612521749.507405;2240
d;2256;283
d;2253;458
d;2247;566
d;2241;660
d;2234;827
d;2228;1053
d;2220;1200
d;2212;1398
d;2206;1578
d;2199;1868
d;2192;1985
d;2186;2146
d;2179;2276
d;2173;2247
d;2168;2253
d;2163;2207
d;2156;2423
d;2152;2311
d;2146;2312
d;2140;2287
d;2133;2235
